Ticker,Model,Score_Mean,Score_Std,Score_Min,Score_Max,Score_Range
AAPL,Isolation Forest,-0.113733,0.055316,-0.184929,0.186106,0.371035
AAPL,One-Class SVM,-0.770981,0.494362,-1.800583,2.002523,3.803106
AAPL,Local Outlier Factor,1.108938,0.186287,0.950997,3.670264,2.719267
AMZN,Isolation Forest,-0.109768,0.055817,-0.185058,0.186482,0.37154
AMZN,One-Class SVM,-0.787094,0.472751,-1.852825,1.951884,3.804708
AMZN,Local Outlier Factor,1.097157,0.138008,0.949949,2.396877,1.446928
MSFT,Isolation Forest,-0.110335,0.053099,-0.179083,0.166556,0.345639
MSFT,One-Class SVM,-0.782533,0.51557,-1.903227,1.772067,3.675294
MSFT,Local Outlier Factor,1.092761,0.138896,0.953255,2.361653,1.408398
NVDA,Isolation Forest,-0.106352,0.053487,-0.176533,0.192812,0.369345
NVDA,One-Class SVM,-0.827296,0.563611,-2.249944,2.536959,4.786902
NVDA,Local Outlier Factor,1.092463,0.187344,0.941031,3.556531,2.6155
TSLA,Isolation Forest,-0.112158,0.055266,-0.183872,0.206986,0.390858
TSLA,One-Class SVM,-0.902253,0.546511,-2.047207,1.946537,3.993744
TSLA,Local Outlier Factor,1.1016,0.139106,0.948138,2.335365,1.387227
