Ticker,Feature,Mean_Absolute_SHAP_Value,Mean_SHAP_Value,Importance_Rank_Within_Ticker
AAPL,Moving_Average_10D,0.383790528538341,-0.021378795453270937,1.0
AAPL,Volume_Change_Pct,0.3468426893915473,-0.006883124065273481,2.0
AAPL,Relative_Volume,0.343646323805365,-0.024413232935297603,3.0
AAPL,Daily_Return,0.33351118141615793,-0.0004936818940510662,4.0
AAPL,Price_Change_Pct,0.30701926004509517,-0.023535560595051835,5.0
AAPL,Distance_From_Earnings_Event,0.287452450357309,-0.015035245134510423,6.0
AAPL,Rolling_Volatility_10D,0.26697793187521013,-0.005948600703953424,7.0
AMZN,Volume_Change_Pct,0.3791431956970347,-0.018042040902693,1.0
AMZN,Rolling_Volatility_10D,0.36495073763784075,-0.008463021215173602,2.0
AMZN,Moving_Average_10D,0.3614429376674978,-0.017532359009367723,3.0
AMZN,Relative_Volume,0.3381502144503209,-0.02645854613489024,4.0
AMZN,Daily_Return,0.29460880945300405,-0.016236552477753387,5.0
AMZN,Distance_From_Earnings_Event,0.2855833093810356,-0.015512943862432384,6.0
AMZN,Price_Change_Pct,0.2836408694966587,-0.0004285636018872744,7.0
MSFT,Relative_Volume,0.3792776071502228,-0.024879544088441487,1.0
MSFT,Volume_Change_Pct,0.34092820397772106,-0.005592715934351559,2.0
MSFT,Rolling_Volatility_10D,0.3066592668533655,-0.014511571312827435,3.0
MSFT,Daily_Return,0.30559289903786224,-0.004379605211514121,4.0
MSFT,Price_Change_Pct,0.28983312774176495,-0.034250249733313747,5.0
MSFT,Distance_From_Earnings_Event,0.27610045867190025,-0.025743482411813724,6.0
MSFT,Moving_Average_10D,0.2683075730503441,-0.018134529822428903,7.0
NVDA,Moving_Average_10D,0.36175222946226604,-0.023249058418544046,1.0
NVDA,Relative_Volume,0.3608514050261184,-0.015967254657786777,2.0
NVDA,Price_Change_Pct,0.31796073720886525,-0.013258804253883053,3.0
NVDA,Daily_Return,0.31715145078561296,-0.010111876891508002,4.0
NVDA,Volume_Change_Pct,0.313123773159691,0.004815712589088656,5.0
NVDA,Distance_From_Earnings_Event,0.29636009264464247,-0.026062887570739227,6.0
NVDA,Rolling_Volatility_10D,0.29168255928393627,-0.015006148081156379,7.0
TSLA,Moving_Average_10D,0.3942105032201296,-0.026123031448273926,1.0
TSLA,Relative_Volume,0.36934027870754516,-0.007488768630596519,2.0
TSLA,Rolling_Volatility_10D,0.3653419296838481,-0.01388945703365581,3.0
TSLA,Volume_Change_Pct,0.33776980598539824,-0.0045198727876571,4.0
TSLA,Daily_Return,0.3353852622921622,-0.009939442679973633,5.0
TSLA,Price_Change_Pct,0.28370128518519583,-0.019278299128215798,6.0
TSLA,Distance_From_Earnings_Event,0.26789325895062066,-0.02397851003524572,7.0
