Date,Ticker,Event_Window,IF_Anomaly_Score,Top_Contributing_Feature_1,Top_Contributing_Feature_1_Abs_SHAP,Top_Contributing_Feature_2,Top_Contributing_Feature_2_Abs_SHAP,Top_Contributing_Feature_3,Top_Contributing_Feature_3_Abs_SHAP
2024-10-24,TSLA,0,0.206986,Volume_Change_Pct,1.987075,Relative_Volume,1.874604,Daily_Return,1.56951
2023-05-25,NVDA,0,0.192812,Relative_Volume,2.041402,Price_Change_Pct,1.528611,Daily_Return,1.483286
2022-04-29,AMZN,0,0.186482,Relative_Volume,1.987611,Volume_Change_Pct,1.487169,Price_Change_Pct,1.384335
2025-04-09,AAPL,0,0.186106,Rolling_Volatility_10D,2.385466,Price_Change_Pct,1.877392,Relative_Volume,1.661449
2025-01-27,NVDA,0,0.184676,Relative_Volume,2.427162,Volume_Change_Pct,1.844629,Price_Change_Pct,1.272585
2025-04-03,AAPL,0,0.176259,Volume_Change_Pct,2.166408,Price_Change_Pct,1.649928,Relative_Volume,1.527158
2025-06-05,TSLA,0,0.175869,Volume_Change_Pct,2.343858,Relative_Volume,2.120835,Price_Change_Pct,1.353371
2024-04-29,TSLA,0,0.172076,Volume_Change_Pct,1.905409,Relative_Volume,1.747343,Daily_Return,1.414403
2021-11-04,NVDA,1,0.171903,Relative_Volume,2.787455,Volume_Change_Pct,2.293445,Price_Change_Pct,1.371715
2021-10-25,TSLA,0,0.166923,Volume_Change_Pct,2.584461,Relative_Volume,2.44029,Daily_Return,1.282015
2022-10-26,MSFT,0,0.166556,Relative_Volume,2.072583,Volume_Change_Pct,1.563579,Price_Change_Pct,1.259172
2025-04-09,NVDA,0,0.155286,Price_Change_Pct,1.963071,Rolling_Volatility_10D,1.684187,Daily_Return,1.639437
2024-11-06,TSLA,0,0.151753,Volume_Change_Pct,2.159473,Rolling_Volatility_10D,1.585976,Daily_Return,1.396023
2022-02-03,AMZN,0,0.150549,Volume_Change_Pct,1.855246,Relative_Volume,1.477558,Daily_Return,1.294955
2022-11-10,AMZN,0,0.148854,Price_Change_Pct,1.883169,Rolling_Volatility_10D,1.75098,Daily_Return,1.532574
2021-04-12,NVDA,0,0.148558,Relative_Volume,2.636426,Volume_Change_Pct,2.472276,Distance_From_Earnings_Event,0.706533
2022-02-04,AMZN,0,0.14698,Price_Change_Pct,1.788694,Rolling_Volatility_10D,1.700312,Daily_Return,1.646814
2024-08-02,AMZN,0,0.141484,Relative_Volume,1.982356,Price_Change_Pct,1.554351,Daily_Return,1.505832
2025-05-01,MSFT,0,0.139682,Relative_Volume,2.172211,Price_Change_Pct,1.556657,Daily_Return,1.541938
2025-01-30,MSFT,0,0.138102,Relative_Volume,1.677984,Volume_Change_Pct,1.419558,Price_Change_Pct,1.30195
2025-12-19,AAPL,0,0.137515,Relative_Volume,2.706152,Volume_Change_Pct,2.276511,Moving_Average_10D,1.107365
2024-06-11,AAPL,0,0.134797,Relative_Volume,2.404927,Daily_Return,1.681836,Price_Change_Pct,1.673513
2025-04-09,MSFT,0,0.133956,Rolling_Volatility_10D,2.020146,Price_Change_Pct,1.901498,Daily_Return,1.833925
2023-02-23,NVDA,0,0.13342,Relative_Volume,1.750413,Daily_Return,1.360141,Price_Change_Pct,1.356322
2025-09-19,AAPL,0,0.130476,Volume_Change_Pct,2.585015,Relative_Volume,2.518984,Price_Change_Pct,0.682076
2022-11-30,MSFT,0,0.1301,Volume_Change_Pct,2.129515,Relative_Volume,1.45272,Price_Change_Pct,1.430707
2023-04-26,MSFT,0,0.129272,Relative_Volume,2.160197,Price_Change_Pct,1.616304,Daily_Return,1.615212
2025-04-04,AAPL,0,0.128597,Relative_Volume,2.037599,Price_Change_Pct,1.777916,Daily_Return,1.635949
2022-11-10,MSFT,0,0.125974,Price_Change_Pct,1.9479,Rolling_Volatility_10D,1.76444,Daily_Return,1.698538
2024-10-31,MSFT,0,0.125561,Relative_Volume,2.32586,Price_Change_Pct,1.399715,Daily_Return,1.312068
